用	1104
娜	4
礼	880
恩	263
质	991
唉	264
哇	882
╰	883
呗	810
就	114
件	884
葩	574
窝	28
朕	589
科	6
风	265
法	576
老	197
羯	8
米	266
灰	9
欢	599
屁	888
领	268
“	269
回	1149
量	270
爽	889
俩	578
于	10
泄	685
糗	11
笑	12
德	13
加	14
其	273
尼	622
陈	1002
妞	624
等	15
子	16
乱	274
信	572
福	17
微	581
希	626
了	896
冒	642
汤	582
张	18
算	1022
母	63
味	1073
废	1150
医	276
妈	1126
舒	277
卧	20
不	573
埋	899
需	278
本	279
s	729
理	670
掉	586
死	21
然	22
要	587
奥	23
终	588
制	905
马	907
嘞	25
常	688
妖	952
浪	102
据	844
饼	27
难	908
明	575
气	281
大	29
a	701
总	885
久	283
脸	910
友	911
怕	590
u	30
咐	284
替	591
试	7
紧	1139
奴	285
猫	787
皇	887
轻	286
辛	287
程	592
渐	31
乃	289
圈	912
搞	593
系	1103
贵	914
懒	594
利	595
记	290
G	291
差	1096
后	940
洞	1173
破	598
怪	32
辈	737
芳	267
没	1013
送	877
王	1075
宝	747
显	997
呜	33
功	947
决	293
题	601
佳	294
逼	34
锅	168
翻	295
凉	766
惯	296
看	603
上	604
害	297
月	457
惠	577
隔	35
病	36
i	37
孩	919
象	38
鸟	299
雅	607
找	300
甜	608
激	609
烤	39
绩	610
也	1077
得	611
各	1158
顾	612
十	921
情	301
相	40
姨	1108
y	41
乖	304
T	615
始	305
被	271
慰	1148
幸	925
仙	306
宙	926
兴	70
下	994
板	927
销	223
肥	307
英	618
呐	929
花	43
而	691
捏	1069
爷	736
专	850
瓶	930
继	951
节	308
嫌	892
饿	44
梦	309
脏	932
志	1130
蝎	310
两	311
睛	1031
好	934
业	312
桌	893
o	46
阿	313
联	329
淫	47
琪	623
假	48
关	791
声	315
毕	625
B	316
爹	938
见	939
富	317
！	881
Y	318
头	49
面	319
臭	50
术	320
掌	51
萌	580
混	942
啦	321
煮	341
己	322
朵	323
辣	232
请	1036
绍	324
道	629
几	945
药	946
中	192
鸡	764
钟	789
胡	326
敌	948
眠	949
承	794
虫	327
介	328
故	950
西	630
菇	54
转	632
养	1129
长	633
课	953
以	634
婚	955
标	944
和	635
偷	1082
群	954
疼	922
八	55
持	1134
意	957
肉	331
谅	637
叶	958
与	638
计	57
万	639
乘	344
乎	1038
兜	640
吵	58
枚	1083
工	641
追	960
崽	332
哟	333
必	334
唧	897
兽	59
雷	643
底	335
耐	336
眼	337
货	338
朝	339
电	61
.	894
很	644
店	340
姓	645
整	56
优	424
尾	963
嘎	841
吻	342
满	964
交	394
哪	62
九	646
妹	343
碗	230
名	275
敢	583
够	345
班	64
外	346
营	381
喊	347
宇	65
候	66
旁	695
京	348
按	649
春	272
2	959
慢	967
新	349
格	68
字	1007
e	69
t	650
遍	1044
M	651
7	652
白	584
欠	415
恋	653
自	654
嗯	72
例	73
艾	655
便	350
姑	656
蠢	75
兮	1111
起	76
错	429
式	351
未	657
作	658
生	659
惜	352
序	79
紫	697
原	353
裤	824
?	898
较	81
骚	660
精	661
习	971
极	814
国	82
客	662
房	449
健	161
物	83
四	663
饭	972
挂	664
失	722
包	354
彼	665
\n	743
证	1080
S	666
父	357
秒	667
撒	700
雪	469
论	359
从	85
摩	360
吕	668
(	961
跪	726
骨	491
代	796
编	361
纸	1048
容	1101
开	973
直	362
招	60
方	975
色	902
h	846
刚	962
狮	1140
似	86
智	891
赶	363
谁	903
瓜	672
绿	364
奖	673
助	725
笨	978
炸	674
<GO>	1
管	116
脑	979
速	675
夜	521
救	904
口	88
平	89
洁	1039
间	234
日	981
b	90
坚	677
吊	91
倒	365
闭	982
导	983
效	984
伟	678
银	679
≧	367
期	680
暖	886
热	93
股	987
第	94
知	988
首	989
片	681
拜	1018
呢	95
机	990
温	368
▽	96
咳	448
周	97
般	280
晓	683
听	852
冷	684
烦	98
或	992
恶	686
∩	99
⊙	687
恨	1094
Q	671
O	965
男	100
非	689
顺	795
可	1074
狠	103
今	690
五	371
火	815
些	616
高	1029
傲	104
吉	854
>	995
复	619
战	105
是	621
入	288
强	647
5	373
夫	106
醒	693
w	1089
门	1141
媳	374
泥	109
经	375
曲	694
文	376
息	110
晕	966
念	1092
但	900
搓	996
<EOS>	3
待	219
、	998
午	112
值	696
费	1124
k	113
有	698
圾	84
之	999
世	377
攻	1001
瘦	1135
限	1043
水	804
拉	378
考	1144
因	117
圆	1145
飞	1003
三	379
瞎	472
收	380
仔	985
急	118
8	1045
休	1106
l	1000
咬	111
语	699
吼	382
<PAD>	0
深	1005
住	383
多	120
通	122
苏	128
永	856
态	384
≦	385
兔	386
狗	123
j	193
化	723
炖	702
肚	124
钱	1008
安	125
财	126
空	704
劲	387
类	858
使	442
咱	67
翔	1010
肯	156
早	158
c	705
傻	127
吖	1049
淡	707
越	1011
剧	390
酱	391
释	392
鹏	1084
当	393
别	169
呼	129
<UNK>	2
＞	131
活	395
劳	709
书	396
碎	397
资	1012
再	398
李	251
胖	399
愿	735
无	400
广	191
接	712
…	713
喜	937
寝	402
爸	134
哥	714
放	1014
操	135
龙	403
什	136
基	200
:	715
木	137
L	369
主	139
汉	1017
粑	716
商	1176
射	404
实	717
警	718
伦	405
困	210
6	756
认	719
连	720
果	406
楼	753
弱	220
抱	407
影	408
验	1021
笔	721
摸	820
呃	1023
武	1016
六	140
咪	863
糕	906
玩	460
诶	1025
种	435
个	1026
罪	772
人	512
套	141
*	913
码	724
良	142
天	1027
π	602
昨	1028
贱	411
额	412
楚	143
衣	413
x	980
谢	1024
丫	144
土	628
号	727
你	145
全	146
粗	147
二	596
\\	728
把	1155
状	1032
亦	148
续	416
杯	101
帅	1072
嫁	1034
近	71
洗	417
正	755
您	418
。	730
涵	419
架	731
弃	1099
寞	1051
叫	732
装	420
来	1052
卡	734
康	422
答	1100
拿	150
禽	151
边	152
敷	423
每	941
器	757
牛	282
密	330
纯	74
元	153
家	859
忘	154
官	562
膀	931
者	740
v	741
页	1040
闷	969
遇	742
师	155
坐	1172
他	355
略	425
快	426
耻	427
百	744
受	428
汪	745
静	1041
势	157
杀	77
4	758
嘻	1159
清	1042
点	370
ˉ	430
耶	1053
退	78
（	748
-	431
刀	749
贝	159
槽	968
顶	750
~	924
太	245
线	432
学	26
卖	160
冲	1046
票	444
叽	1047
光	162
傅	292
疯	751
除	163
吹	180
换	164
左	1119
=	754
星	434
评	410
红	436
定	414
林	437
儿	165
啥	579
刷	1035
悲	421
雄	166
立	438
Z	439
目	760
先	1006
女	440
云	441
少	746
易	703
蛇	167
克	433
萝	1033
晚	759
比	1168
